title,authors,year,n_cited_by,summary,n_cited,pdf_url,cited_papers
Atoms of confusion in java,"C Langhout, M Aniche",2021,Cited by 4,"Although writing code seems trivial at times, problems arise when humans misinterpret what the code actually does. One of the potential causes are"" atoms of confusion"", the smallest",3,https://arxiv.org/pdf/2103.05424,Thinking aloud | Prevalence of | Understanding misunderstandings
 ,"IJ Siegmund, IS Apel, W Weimer ",2022,"","",3,"",Thinking aloud | Understanding misunderstandings | Understanding misunderstandings
A Relaao entre a Experincia de Engenheiros de Software ea Compreensao e Refatoraao deAtomos de Confusao,"GH Campos, EFRC Manoel, BHMG Funcionrios ","","",Atoms of confusion are defined as the smallest patterns of code snippets that can cause confusion and misunderstanding to the software engineer about the behavior and expected,3,http://bib.pucminas.br:8080/pergamumweb/vinculos/000013/00001341.pdf,Thinking aloud | Prevalence of | Understanding misunderstandings
Evaluating Atoms of Confusion in the Context of Code Reviews,"V Bogachenkova, L Nguyen, F Ebert",2022,"","Code review is a popular software engineering practice. Success of code reviews can be threatened by confusion experienced by code reviewers. For instance, on the one hand",3,https://www.win.tue.nl/~aserebre/ICSME2022.pdf,Thinking aloud | Prevalence of | Understanding misunderstandings
Dazed and Confused: Studying the Prevalence of Atoms of Confusion in Long-Lived Java Libraries,"W Mendes, O Pinheiro, E Santos",2022,"","Program comprehension is a fundamental activity in software maintenance and evolution, impacting several tasks such as bug fixing, code reuse, and implementation of new features",3,"",Thinking aloud | Prevalence of | Understanding misunderstandings
Studying the difference between natural and programming language corpora,"C Casalnuovo, K Sagae, P Devanbu",2019,Cited by 21,"Code corpora, as observed in large software systems, are now known to be far more repetitive and predictable than natural language corpora. But why? Does the difference",2,https://arxiv.org/pdf/1806.02437,Prevalence of | Understanding misunderstandings
An investigation of misunderstanding code patterns in C open-source software projects,"F Medeiros, G Lima, G Amaral, S Apel",2019,Cited by 21,"Abstract Maintenance consumes 40% to 80% of software development costs. So, it is essential to write source code that is easy to understand to reduce the costs with",2,https://www.se.cs.uni-saarland.de/publications/docs/MLA+18emse.pdf,Prevalence of | Understanding misunderstandings
NatGen: generative pre-training by naturalizing source code,"S Chakraborty, T Ahmed, Y Ding, PT Devanbu",2022,Cited by 14,"Pre-trained Generative Language models (eg, PLBART, CodeT5, SPT-Code) for source code yielded strong results on several tasks in the past few years, including code generation",2,https://arxiv.org/pdf/2206.07585,Thinking aloud | Prevalence of
Thinking aloud about confusing code: A qualitative investigation of program comprehension and atoms of confusion,"D Gopstein, AL Fayard, S Apel, J Cappos",2020,Cited by 12,Atoms of confusion are small patterns of code that have been empirically validated to be difficult to hand-evaluate by programmers. Previous research focused on defining and,2,https://dl.acm.org/doi/pdf/10.1145/3368089.3409714,Prevalence of | Understanding misunderstandings
Do programmers prefer predictable expressions in code?,"C Casalnuovo, K Lee, H Wang, P Devanbu",2020,Cited by 8,"Source code is a form of human communication, albeit one where the information shared between the programmers reading and writing the code is constrained by the requirement",2,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cogs.12921,Prevalence of | Understanding misunderstandings
Atoms of confusion: The eyes do not lie,"B de Oliveira, M Ribeiro, JAS da Costa",2020,Cited by 5,"Code comprehension is crucial in software maintenance activities, though it can be hindered by misunderstandings and confusion patterns, namely, atoms of confusion. They are small",2,"",Prevalence of | Understanding misunderstandings
"Do people prefer"" natural"" code?","C Casalnuovo, K Lee, H Wang, P Devanbu",2019,Cited by 5,"Natural code is known to be very repetitive (much more so than natural language corpora); furthermore, this repetitiveness persists, even after accounting for the simpler syntax of code",2,https://arxiv.org/pdf/1910.03704,Prevalence of | Understanding misunderstandings
Identifying program confusion using electroencephalogram measurements,"MKC Yeh, Y Yan, Y Zhuang",2022,Cited by 4,"In this paper, we present an experimental study in which an electroencephalogram (EEG) device was used to measure cognitive load in programmers as they attempted to predict the",2,https://ssl.engineering.nyu.edu/papers/yeh_atoms_eeg_b_it_2021.pdf,Prevalence of | Understanding misunderstandings
A neuro-cognitive perspective of program comprehension,N Peitek,2018,Cited by 4,"Program comprehension is the cognitive process of understanding code. Researchers have proposed several models to describe program comprehension. However, because program",2,https://www.peitek.com/pdf/ICSE18_DS_Peitek.pdf,Thinking aloud | Understanding misunderstandings
Quipping Equipment: Apropos of Robots and Kantian Chatbots,C von Xylander,2022,Cited by 3,"Robots, Bourdieu, Kant, and SexCoeckelbergh's philosophy of technical assemblages has it all. This commentary considers his early work on the linguistic construction of artificial",2,"",Thinking aloud | Thinking aloud
On the impact of atoms of confusion in javascript code,"C Oliveira, ARF Torres ",2019,Cited by 1,One of the main aspects of engineering maintainable software is the concern with how understandable the code is from the human perspective. Since having to spend a lot of,2,https://bdm.unb.br/bitstream/10483/27600/1/2019_CaioOliveira_AdrianoTorres_tcc.pdf,Prevalence of | Understanding misunderstandings
Prevalence of 'Atoms of Confusion'in Open Source Java Systems: An Empirical Study,"N Tahsin, N Fuad, A Satter ",2023,"","Atoms of confusion, or simply atoms, are pieces of code that lead to misunderstanding while being interpreted. Previous research has shown that the presence of atoms has an",2,https://www.authorea.com/doi/pdf/10.22541/au.167570695.54470176,Prevalence of | Understanding misunderstandings
Learning to Edit Code: Towards Building General Purpose Models for Source Code Editing,S Chakraborty ,2022,"","The way software developers edit code day-to-day tends to be repetitive, often using existing code elements. Many researchers have tried to automate the repetitive code editing process",2,https://academiccommons.columbia.edu/doi/10.7916/zygx-6475/download,Thinking aloud | Prevalence of
A Systematic Literature Review on the Impact of Formatting Elements on Program Understandability,"D Oliveira, R Bruno, F Madeiral, H Masuhara",2022,"",Context: Software programs can be written in different but functionally equivalent ways. Even though previous research has compared specific formatting elements to find out which,2,https://arxiv.org/pdf/2208.12141,Prevalence of | Understanding misunderstandings
Mining Open Source Software Ecosystems and Understanding Code as Human Communication through Statistical Language Models,CR Casalnuovo ,2020,"","Online repository hosts such as GitHub provide a wealth of information that can be used to inform developers on who and what to follow, indicate project quality and health, and to",2,https://search.proquest.com/openview/e4a7e1c599e07c10b931181f65cfa442/1?pq-origsite=gscholar&cbl=18750&diss=y,Prevalence of | Understanding misunderstandings
Atoms of confusion do really cause confusion? A controlled experiment using eye tracking,BFA Oliveira ,2020,"","Code comprehension is crucial in software maintenance activities, though it can be hindered by misunderstandings and confusion patterns, namely, atoms of confusion. They are small",2,https://www.repositorio.ufal.br/bitstream/riufal/7798/1/Atoms%20of%20confusion%20do%20really%20cause%20confusion%3F%20A%20controlled%20experiment%20using%20eye%20tracking.pdf,Prevalence of | Understanding misunderstandings
Atoms of Confusion: Misunderstanding of Obfuscated Source Code,D Gopstein ,2020,"","Humans often mistake the meaning of source code, and so misjudge a program's true behavior. These mistakes can be caused by extremely small, isolated patterns in code",2,https://search.proquest.com/openview/f26051fb9d4a06c50db012c6e87e5cc7/1?pq-origsite=gscholar&cbl=18750&diss=y,Prevalence of | Understanding misunderstandings
"Flvio Medeiros, Gabriel Lima, Guilherme Amaral, Sven Apel, Christian","MR Kstner, R Gheyi ","","","Abstract Maintenance consumes 40% to 80% of software development costs. So, it is essential to write source code that is easy to understand to reduce the costs with",2,http://www.cs.cmu.edu/~ckaestne/pdf/emse18.pdf,Prevalence of | Understanding misunderstandings
"Is Naturalness"" a result of deliberate choice?","K Lee, C Casalnuovo ",2018,"","Programs operate on dual channels: not only are they meant to be run via a compiler and interpreter; they are also meant to be read and understood by humans. However, when",2,https://caseycas.github.io/pub/papers/semantictransformation.pdf,Prevalence of | Understanding misunderstandings
tomos de confuso em JavaScript e sua influncia na compreenso de cdigo,FA Nascimento ,2022,"",Uma das principais tarefas a serem desempenhadas por um programador durante o desenvolvimento de software  a leitura e compreenso de cdigo. Em um contexto de,2,https://bdm.unb.br/bitstream/10483/33529/1/2022_FillypeAlvesDoNascimento.pdf,Prevalence of | Understanding misunderstandings
tomos de Confuso em Swift,IMV Manor ,"","",Estudos recentes em engenharia de software identificaram a existncia dos chamados tomos de confuso em cdigo C. Esses so os menores possveis padres de cdigo,2,https://www.cin.ufpe.br/~tg/2018-2/TG_CC/tg_imvm.pdf,Prevalence of | Understanding misunderstandings
"Confusion in code reviews: Reasons, impacts, and coping strategies","F Ebert, F Castor, N Novielli",2019,Cited by 71,"Code review is a software quality assurance practice widely employed in both open source and commercial software projects to detect defects, transfer knowledge and encourage",1,http://jpaulgibson.synology.me/~jpaulgibson/TSP/Teaching/Teaching-ReadingMaterial/EbertCNS19.pdf,Understanding misunderstandings
API blindspots: Why experienced developers write vulnerable code,"D Oliveira, T Lin, MS Rahman, R Akefirad",2018,Cited by 63,"Despite the best efforts of the security community, security vulnerabilities in software are still prevalent, with new vulnerabilities reported daily and older ones stubbornly repeating",1,https://www.usenix.org/system/files/conference/soups2018/soups2018-oliveira.pdf,Understanding misunderstandings
An empirical validation of cognitive complexity as a measure of source code understandability,"M Muoz Barn, M Wyrich, S Wagner",2020,Cited by 38,Background: Developers spend a lot of their time on understanding source code. Static code analysis tools can draw attention to code that is difficult for developers to understand,1,https://arxiv.org/pdf/2007.12520,Understanding misunderstandings
Prevalence of confusing code in software projects: Atoms of confusion in the wild,"D Gopstein, HH Zhou, P Frankl, J Cappos",2018,Cited by 27,"Prior work has shown that extremely small code patterns, such as the conditional operator and implicit type conversion, can cause considerable misunderstanding in programmers",1,https://ssl.engineering.nyu.edu/papers/gopstein_atomswild_msr_2018.pdf,Understanding misunderstandings
Evaluating code readability and legibility: An examination of human-centric studies,"D Oliveira, R Bruno, F Madeiral",2020,Cited by 25,"Reading code is an essential activity in software maintenance and evolution. Several studies with human subjects have investigated how different factors, such as the employed",1,https://arxiv.org/pdf/2110.00785,Understanding misunderstandings
Detecting and comparing brain activity in short program comprehension using EEG,"MKC Yeh, D Gopstein, Y Yan",2017,Cited by 22,Program comprehension is a common task in software development. Programmers perform program comprehension at different stages of the software development life cycle. Detecting,1,http://www.personal.psu.edu/kqy1/papers/YehYGZ2017.pdf,Understanding misunderstandings
Does the introduction of lambda expressions improve the comprehension of java programs?,"W Lucas, R Bonifcio, ED Canedo, D Marclio",2019,Cited by 20,"Background: The Java programming language version eighth introduced a number of features that encourage the functional style of programming, including the support for",1,https://dvmarcilio.github.io/papers/sbes2019.pdf,Understanding misunderstandings
An exploratory study on confusion in code reviews,"F Ebert, F Castor, N Novielli, A Serebrenik",2021,Cited by 18,Context Code review is a widely used technique of systematic examination of code changes which aims at increasing software quality. Code reviews provide several benefits for the,1,https://link.springer.com/article/10.1007/s10664-020-09909-5,Understanding misunderstandings
A fine-grained data set and analysis of tangling in bug fixing commits,"S Herbold, A Trautsch, B Ledel",2022,Cited by 13,"Context Tangled commits are changes to software that address multiple concerns at once. For researchers interested in bugs, tangled commits mean that they actually study not only",1,https://link.springer.com/article/10.1007/s10664-021-10083-5,Prevalence of
The mind is a powerful place: How showing code comprehensibility metrics influences code understanding,"M Wyrich, A Preikschat, D Graziotin",2021,Cited by 12,"Static code analysis tools and integrated development environments present developers with quality-related software metrics, some of which describe the understandability of source",1,https://arxiv.org/pdf/2012.09590,Understanding misunderstandings
Prevalence of bad smells in pl/sql projects,"FG de Almeida Filho, ADF Martins",2019,Cited by 12,"Code Smell can be defined as any feature in the source code of a software that may indicate possible problems. In database languages, the term Bad Smell has been used as a",1,"",Prevalence of
